id,manufacturer,name,certification_id,assurance_level,certification_date,archived_date,remark
182,北京神州绿盟科技有限公司,"绿盟网络入侵检测系统 V5.6",CNITSEC2018I&amp;OE0028,自主原创,2019/3/2,2022/3/1,NULL
183,湖南国科微电子股份有限公司,GK2301关键电路模块及固件,CNITSEC2018I&amp;OE0029,自主原创,2019/5/5,2022/5/4,NULL
184,北京启明星辰信息安全技术有限公司,"天阗入侵检测与管理系统 V7.0",CNITSEC2019I&amp;OE0030,自主原创,2019/5/29,2022/5/28,NULL
185,北京机电工程所,海鹰翼辉嵌入式实时操作系统V1.1.6防务关键运行模块,CNITSEC2019I&amp;OE0031,自主原创,2019/8/19,2022/8/18,NULL
186,湖南国科微电子股份有限公司,"GK2303 关键电路模块及固件",CNITSEC2019I&amp;OE0032,自主原创,2019/11/6,2022/11/5,NULL
187,北京启明星辰信息安全技术有限公司,"天阗入侵检测与管理系统 V7.0(百兆）",CNITSEC2020PRD0954,EAL3+,2020/2/10,2023/2/9,NULL
188,北京启明星辰信息安全技术有限公司,"天阗入侵检测与管理系统 V7.0(千兆）",CNITSEC2020PRD0955,EAL3+,2020/2/10,2023/2/9,NULL
189,北京启明星辰信息安全技术有限公司,"天阗入侵检测与管理系统 V7.0(万兆）",CNITSEC2020PRD0956,EAL3+,2020/2/10,2023/2/9,NULL
190,北京网御星云信息技术有限公司,网御入侵检测系统V3.2(百兆）,CNITSEC2020PRD0957,EAL3+,2020/2/10,2023/2/9,NULL
191,北京网御星云信息技术有限公司,网御入侵检测系统V3.2(千兆）,CNITSEC2020PRD0958,EAL3+,2020/2/10,2023/2/9,NULL
192,北京网御星云信息技术有限公司,网御入侵检测系统V3.2(万兆）,CNITSEC2020PRD0959,EAL3+,2020/2/10,2023/2/9,NULL
193,北京天融信网络安全技术有限公司,天融信异常流量管理与抗拒绝服务系统TopADS(千兆）V3,CNITSEC2020PRD0960,EAL3+,2020/3/2,2023/3/1,NULL
194,北京天融信网络安全技术有限公司,天融信异常流量管理与抗拒绝服务系统TopADS(万兆）V3,CNITSEC2020PRD0961,EAL3+,2020/3/2,2023/3/1,NULL
195,网神信息技术（北京）股份有限公司,SecFox安全管理系统V1.0,CNITSEC2020PRD0962,EAL3+,2020/3/3,2023/3/2,NULL
196,网神信息技术（北京）股份有限公司,奇安信网神安全分析与管理系统V4.0,CNITSEC2020PRD0963,EAL3+,2020/3/3,2023/3/2,NULL
197,北京启明星辰信息安全技术有限公司,天镜脆弱性扫描与管理系统V6.0,CNITSEC2020PRD0964,EAL3+,2020/3/4,2023/3/3,NULL
198,北京网御星云信息技术有限公司,"网御漏洞扫描系统 V6.0",CNITSEC2020PRD0965,EAL3+,2020/3/4,2023/3/3,NULL
199,北京天融信网络安全技术有限公司,天融信主机监控与审计系统V3,CNITSEC2020PRD0966,EAL3+,2020/3/6,2023/3/5,NULL
200,北京天融信网络安全技术有限公司,"天融信Web 应用安全防护系统TopWAF(千兆）V3",CNITSEC2020PRD0967,EAL3+,2020/3/13,2023/3/12,NULL
201,广州江南科友科技股份有限公司,"运维安全审计系统HAC V3",CNITSEC2020PRD0968,EAL1,2020/3/18,2023/3/17,NULL
202,深圳市文鼎创数据科技有限公司,蓝牙型智能密码钥匙EsecuKey-K3C(3)/V2.3,CNITSEC2020PRD0969,EAL4+,2020/3/20,2023/3/19,NULL
203,北京神州绿盟科技有限公司,绿盟NF防火墙（千兆）V6.0,CNITSEC2020PRD0970,EAL4+,2020/3/23,2023/3/22,NULL
204,北京神州绿盟科技有限公司,绿盟NF防火墙（万兆）V6.0,CNITSEC2020PRD0971,EAL4+,2020/3/23,2023/3/22,NULL
205,北京天地和兴科技有限公司,工控安全审计平台V2.0,CNITSEC2019PRD0917,EAL3,2018/3/2,2021/3/1,NULL
